地方コード,沿線コード,駅コード,沿線,新沿線,駅名,新駅名,Temp,Temp2,沿線CD,駅CD,沿線名,駅名,都道府県名,地方名
1,61,170,室蘭本線,室蘭線,輪西,輪西,,,4015,54785,ＪＲ室蘭本線,輪西,北海道,北海道
1,61,180,室蘭本線,室蘭線,東室蘭,東室蘭,,,4015,54790,ＪＲ室蘭本線,東室蘭,北海道,北海道
1,61,190,室蘭本線,室蘭線,鷲別,鷲別,,,4015,54795,ＪＲ室蘭本線,鷲別,北海道,北海道
1,61,200,室蘭本線,室蘭線,幌別,幌別,,,4015,54800,ＪＲ室蘭本線,幌別,北海道,北海道
1,61,210,室蘭本線,室蘭線,富浦,富浦,,,4015,54805,ＪＲ室蘭本線,富浦,北海道,北海道
1,61,220,室蘭本線,室蘭線,登別,登別,,,4015,54810,ＪＲ室蘭本線,登別,北海道,北海道
1,61,230,室蘭本線,室蘭線,虎杖浜,虎杖浜,,,4015,54815,ＪＲ室蘭本線,虎杖浜,北海道,北海道
1,61,240,室蘭本線,室蘭線,竹浦,竹浦,,,4015,54820,ＪＲ室蘭本線,竹浦,北海道,北海道
1,61,250,室蘭本線,室蘭線,北吉原,北吉原,,,4015,54825,ＪＲ室蘭本線,北吉原,北海道,北海道
1,61,260,室蘭本線,室蘭線,萩野,萩野,,,4015,54830,ＪＲ室蘭本線,萩野,北海道,北海道
1,61,270,室蘭本線,室蘭線,白老,白老,,,4015,54835,ＪＲ室蘭本線,白老,北海道,北海道
1,61,280,室蘭本線,室蘭線,社台,社台,,,4015,54840,ＪＲ室蘭本線,社台,北海道,北海道
1,61,290,室蘭本線,室蘭線,錦岡,錦岡,,,4015,54845,ＪＲ室蘭本線,錦岡,北海道,北海道
1,61,300,室蘭本線,室蘭線,糸井,糸井,,,4015,54850,ＪＲ室蘭本線,糸井,北海道,北海道
1,61,305,室蘭本線,室蘭線,青葉,青葉,,,4015,54855,ＪＲ室蘭本線,青葉,北海道,北海道
1,61,310,室蘭本線,室蘭線,苫小牧,苫小牧,1,20,4015,26360,ＪＲ室蘭本線,苫小牧,北海道,北海道
1,61,320,室蘭本線,室蘭線,沼ノ端,沼ノ端,1,19,4015,29820,ＪＲ室蘭本線,沼ノ端,北海道,北海道
1,61,330,室蘭本線,室蘭線,遠浅,遠浅,,,4015,54860,ＪＲ室蘭本線,遠浅,北海道,北海道
1,61,340,室蘭本線,室蘭線,早来,早来,,,4015,54865,ＪＲ室蘭本線,早来,北海道,北海道
1,61,350,室蘭本線,室蘭線,安平,安平,,,4015,54870,ＪＲ室蘭本線,安平,北海道,北海道
1,61,360,室蘭本線,室蘭線,追分,追分,1,21,4015,54685,ＪＲ室蘭本線,追分,北海道,北海道
1,61,370,室蘭本線,室蘭線,三川,三川,,,4015,54875,ＪＲ室蘭本線,三川,北海道,北海道
1,61,380,室蘭本線,室蘭線,古山,古山,,,4015,54880,ＪＲ室蘭本線,古山,北海道,北海道
1,61,390,室蘭本線,室蘭線,由仁,由仁,,,4015,54885,ＪＲ室蘭本線,由仁,北海道,北海道
1,61,400,室蘭本線,室蘭線,栗山,栗山,,,4015,54890,ＪＲ室蘭本線,栗山,北海道,北海道
1,61,410,室蘭本線,室蘭線,栗丘,栗丘,,,4015,54895,ＪＲ室蘭本線,栗丘,北海道,北海道
1,61,420,室蘭本線,室蘭線,栗沢,栗沢,,,4015,54900,ＪＲ室蘭本線,栗沢,北海道,北海道
1,61,430,室蘭本線,室蘭線,志文,志文,,,4015,54905,ＪＲ室蘭本線,志文,北海道,北海道
1,61,440,室蘭本線,室蘭線,岩見沢,岩見沢,1,11,4015,3930,ＪＲ室蘭本線,岩見沢,北海道,北海道
1,63,10,日高本線,日高線,苫小牧,苫小牧,1,20,4080,26360,ＪＲ日高本線,苫小牧,北海道,北海道
1,63,20,日高本線,日高線,勇払,勇払,,,4080,54915,ＪＲ日高本線,勇払,北海道,北海道
1,63,30,日高本線,日高線,浜厚真,浜厚真,,,4080,54920,ＪＲ日高本線,浜厚真,北海道,北海道
1,63,40,日高本線,日高線,浜田浦,浜田浦,,,4080,54925,ＪＲ日高本線,浜田浦,北海道,北海道
1,63,50,日高本線,日高線,鵡川,鵡川,,,4080,54930,ＪＲ日高本線,鵡川,北海道,北海道
1,65,10,留萌本線,留萌線,深川,深川,1,14,4085,54430,ＪＲ留萌本線,深川,北海道,北海道
1,65,20,留萌本線,留萌線,北一已,北一已,,,4085,55055,ＪＲ留萌本線,北一已,北海道,北海道
1,65,30,留萌本線,留萌線,秩父別,秩父別,,,4085,55060,ＪＲ留萌本線,秩父別,北海道,北海道
1,65,35,留萌本線,留萌線,北秩父別,北秩父別,,,4085,55065,ＪＲ留萌本線,北秩父別,北海道,北海道
1,65,40,留萌本線,留萌線,石狩沼田,石狩沼田,,,4085,55070,ＪＲ留萌本線,石狩沼田,北海道,北海道
1,65,45,留萌本線,留萌線,真布,真布,,,4085,55075,ＪＲ留萌本線,真布,北海道,北海道
1,65,50,留萌本線,留萌線,恵比島,恵比島,,,4085,55080,ＪＲ留萌本線,恵比島,北海道,北海道
1,65,60,留萌本線,留萌線,峠下,峠下,,,4085,55085,ＪＲ留萌本線,峠下,北海道,北海道
1,65,70,留萌本線,留萌線,幌糠,幌糠,,,4085,55095,ＪＲ留萌本線,幌糠,北海道,北海道
1,65,80,留萌本線,留萌線,藤山,藤山,,,4085,55100,ＪＲ留萌本線,藤山,北海道,北海道
1,65,90,留萌本線,留萌線,大和田,大和田,,,4085,55105,ＪＲ留萌本線,大和田,北海道,北海道
1,65,100,留萌本線,留萌線,留萌,留萌,,,4085,55110,ＪＲ留萌本線,留萌,北海道,北海道
1,67,10,根室本線,根室線,滝川,滝川,1,13,4090,54425,ＪＲ根室本線,滝川,北海道,北海道
1,67,20,根室本線,根室線,東滝川,東滝川,,,4090,55155,ＪＲ根室本線,東滝川,北海道,北海道
1,67,30,根室本線,根室線,赤平,赤平,,,4090,55160,ＪＲ根室本線,赤平,北海道,北海道
1,67,40,根室本線,根室線,茂尻,茂尻,,,4090,55165,ＪＲ根室本線,茂尻,北海道,北海道
1,67,50,根室本線,根室線,平岸,平岸,,,4090,55170,ＪＲ根室本線,平岸,北海道,北海道
1,67,60,根室本線,根室線,芦別,芦別,,,4090,55175,ＪＲ根室本線,芦別,北海道,北海道
1,67,70,根室本線,根室線,上芦別,上芦別,,,4090,55180,ＪＲ根室本線,上芦別,北海道,北海道
1,67,80,根室本線,根室線,野花南,野花南,,,4090,55185,ＪＲ根室本線,野花南,北海道,北海道
1,67,110,根室本線,根室線,富良野,富良野,1,29,4090,55470,ＪＲ根室本線,富良野,北海道,北海道
1,67,120,根室本線,根室線,布部,布部,,,4090,55195,ＪＲ根室本線,布部,北海道,北海道
1,67,130,根室本線,根室線,山部,山部,,,4090,55200,ＪＲ根室本線,山部,北海道,北海道
1,67,140,根室本線,根室線,下金山,下金山,,,4090,55205,ＪＲ根室本線,下金山,北海道,北海道
1,67,150,根室本線,根室線,金山,金山,,,4090,55210,ＪＲ根室本線,金山,北海道,北海道
1,67,160,根室本線,根室線,東鹿越,東鹿越,,,4090,55215,ＪＲ根室本線,東鹿越,北海道,北海道
