沿線CD	駅CD	沿線名	駅名	都道府県名
4060	17020	地下鉄南北線	自衛隊前	北海道
4060	35680	地下鉄南北線	真駒内	北海道
4050	56340	地下鉄東西線	宮の沢	北海道
4050	56345	地下鉄東西線	発寒南	北海道
4050	79940	地下鉄東西線	琴似	北海道
4050	29490	地下鉄東西線	二十四軒	北海道
4050	29150	地下鉄東西線	西２８丁目	北海道
4050	36210	地下鉄東西線	円山公園	北海道
4050	28830	地下鉄東西線	西１８丁目	北海道
4050	28810	地下鉄東西線	西１１丁目	北海道
4050	06070	地下鉄東西線	大通	北海道
4050	30510	地下鉄東西線	バスセンター前	北海道
4050	10700	地下鉄東西線	菊水	北海道
4050	31940	地下鉄東西線	東札幌	北海道
4050	79945	地下鉄東西線	白石	北海道
4050	28150	地下鉄東西線	南郷７丁目	北海道
4050	28130	地下鉄東西線	南郷１３丁目	北海道
4050	28140	地下鉄東西線	南郷１８丁目	北海道
4050	06410	地下鉄東西線	大谷地	北海道
4050	32990	地下鉄東西線	ひばりが丘	北海道
4050	19610	地下鉄東西線	新さっぽろ	北海道
4020	29570	札幌市電	西４丁目	北海道
4020	29310	札幌市電	西８丁目	北海道
4020	24310	札幌市電	中央区役所前	北海道
4020	28820	札幌市電	西１５丁目	北海道
4020	28950	札幌市電	西線６条	北海道
4020	28910	札幌市電	西線９条旭山公園通	北海道
4020	28920	札幌市電	西線１１条	北海道
4020	28930	札幌市電	西線１４条	北海道
4020	28940	札幌市電	西線１６条	北海道
4020	41440	札幌市電	ロープウェイ入口	北海道
4020	25360	札幌市電	電車事業所前	北海道
4020	24330	札幌市電	中央図書館前	北海道
4020	02390	札幌市電	石山通	北海道
4020	32080	札幌市電	東屯田通	北海道
4020	14250	札幌市電	幌南小学校前	北海道
4020	40520	札幌市電	山鼻１９条	北海道
4020	20980	札幌市電	静修学園前	北海道
4020	11930	札幌市電	行啓通	北海道
4020	27110	札幌市電	中島公園通	北海道
4020	40510	札幌市電	山鼻９条	北海道
4020	32370	札幌市電	東本願寺前	北海道
4020	21680	札幌市電	資生館小学校前	北海道
4020	20690	札幌市電	すすきの	北海道
4020	84007	札幌市電	狸小路	北海道
4055	15790	地下鉄東豊線	栄町	北海道
4055	19950	地下鉄東豊線	新道東	北海道
4055	39320	地下鉄東豊線	元町	北海道
4055	10240	地下鉄東豊線	環状通東	北海道
4055	31880	地下鉄東豊線	東区役所前	北海道
4055	11230	地下鉄東豊線	北１３条東	北海道
4055	16380	地下鉄東豊線	さっぽろ	北海道
4055	06070	地下鉄東豊線	大通	北海道
4055	34860	地下鉄東豊線	豊水すすきの	北海道
4055	07640	地下鉄東豊線	学園前	北海道
4055	26630	地下鉄東豊線	豊平公園	北海道
4055	36840	地下鉄東豊線	美園	北海道
4055	24610	地下鉄東豊線	月寒中央	北海道
4055	33680	地下鉄東豊線	福住	北海道
4125	56350	函館市電湯川線	函館どっく前	北海道
4125	56355	函館市電湯川線	大町	北海道
4125	56360	函館市電湯川線	末広町	北海道
4125	56455	函館市電湯川線	十字街	北海道
4125	56365	函館市電湯川線	魚市場通	北海道
4125	56370	函館市電湯川線	市役所前	北海道
4125	75845	函館市電湯川線	函館駅前	北海道
4125	56375	函館市電湯川線	松風町	北海道
4125	56380	函館市電湯川線	新川町	北海道
4125	56385	函館市電湯川線	千歳町	北海道
4125	56390	函館市電湯川線	昭和橋	北海道
4125	56395	函館市電湯川線	堀川町	北海道
4125	56400	函館市電湯川線	千代台	北海道
4125	56405	函館市電湯川線	中央病院前	北海道
4125	56410	函館市電湯川線	五稜郭公園前	北海道
4125	56415	函館市電湯川線	杉並町	北海道
4125	56420	函館市電湯川線	柏木町	北海道
4125	56425	函館市電湯川線	深堀町	北海道
4125	56430	函館市電湯川線	競馬場前	北海道
4125	56435	函館市電湯川線	駒場車庫前	北海道
4125	56440	函館市電湯川線	函館アリーナ前	北海道
4125	56445	函館市電湯川線	湯の川温泉	北海道
4125	56450	函館市電湯川線	湯の川	北海道
4130	56460	函館市電宝来谷地頭線	谷地頭	北海道
4130	56465	函館市電宝来谷地頭線	青柳町	北海道
4130	56470	函館市電宝来谷地頭線	宝来町	北海道
4130	56455	函館市電宝来谷地頭線	十字街	北海道
5035	50520	阿武隈急行	槻木	宮城県
5035	57440	阿武隈急行	東船岡	宮城県
5035	57445	阿武隈急行	岡	宮城県
5035	57450	阿武隈急行	横倉	宮城県
5035	57455	阿武隈急行	角田	宮城県
5035	57460	阿武隈急行	南角田	宮城県
5035	57465	阿武隈急行	北丸森	宮城県
5035	57470	阿武隈急行	丸森	宮城県
5035	57475	阿武隈急行	あぶくま	宮城県
5035	57480	阿武隈急行	兜	福島県
5035	57485	阿武隈急行	富野	福島県
5035	57490	阿武隈急行	希望の森公園前	福島県
5035	57495	阿武隈急行	梁川	福島県
5035	75875	阿武隈急行	新田	福島県
